_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	46	"TEST"	20.8255	0	0.084608	0.725917	0	50	0.02	0.02	0	1	0	1	0	0	1.09096	0.839537
_D:	0	47	"TEST"	22.3904	0	0.0890762	0.711893	0	50	0.02	0.01	0	1	0	1	0	0	1.10945	0.837788
_D:	0	48	"TEST"	22.6156	0	0.0893503	0.709839	0	50	0.01	0.02	0	1	0	1	0	0	1.12403	0.84261
_D:	0	49	"TEST"	23.1202	0	0.0907895	0.703161	0	50	0.02	0.02	0	1	0	1	0	0	1.11426	0.836191
_D:	0	50	"TEST"	20.7324	0	0.0830638	0.730077	0	50	0.02	0.02	0	1	0	1	0	0	1.07929	0.825996
_D:	0	51	"TEST"	20.5005	0	0.0835024	0.730763	0	50	0.02	0.02	0	1	0	1	0	0	1.09046	0.833915
_D:	0	52	"TEST"	15.7464	0	0.0698145	0.79134	0	50	0.02	0.02	0	1	0	1	0	0	1.03928	0.826123
_D:	0	53	"TEST"	13.6806	0	0.0641402	0.817538	0	50	0.02	0.02	0	1	0	1	0	0	1.0398	0.836266
_D:	0	54	"TEST"	13.405	0	0.0635006	0.8208	0	50	0.02	0.02	0	1	0	1	0	0	1.04217	0.835745
_D:	0	55	"TEST"	13.8558	0	0.0644006	0.812187	0	50	0.01	0.02	0	1	0	1	0	0	1.01714	0.832655
_D:	0	56	"TEST"	13.0497	0	0.0628061	0.824848	0	50	0.02	0.02	0	1	0	1	0	0	1.0115	0.83081
_D:	0	57	"TEST"	12.6003	0	0.0607685	0.829974	0	50	0.01	0.02	0	1	0	1	0	0	1.04337	0.848444
_D:	0	58	"TEST"	12.6036	0	0.0604852	0.830596	0	50	0.02	0.01	0	1	0	1	0	0	1.02945	0.841696
_D:	0	59	"TEST"	12.5897	0	0.0609923	0.831501	0	50	0.02	0.02	0	1	0	1	0	0	1.02322	0.842314
_D:	0	60	"TEST"	12.9203	0	0.0614949	0.825918	0	50	0.02	0.02	0	1	0	1	0	0	1.02878	0.836339
_D:	0	61	"TEST"	13.2797	0	0.0633772	0.821465	0	50	0.02	0.02	0	1	0	1	0	0	1.02837	0.835047
_D:	0	62	"TEST"	12.0185	0	0.0598684	0.838895	0	50	0.02	0.01	0	1	0	1	0	0	1.03114	0.849678
_D:	0	63	"TEST"	13.4724	0	0.0636696	0.815746	0	50	0.02	0.02	0	1	0	1	0	0	1.01936	0.837264
_D:	0	64	"TEST"	12.5012	0	0.062203	0.832237	0	50	0.02	0.02	0	1	0	1	0	0	1.02014	0.841803
_D:	0	65	"TEST"	12.9611	0	0.0633224	0.826673	0	50	0.02	0.02	0	1	0	1	0	0	1.02828	0.847609
_D:	0	66	"TEST"	13.0046	0	0.063135	0.824996	0	50	0.02	0.02	0	1	0	1	0	0	1.03352	0.845965
_D:	0	67	"TEST"	13.182	0	0.0630802	0.824577	0	50	0.01	0.02	0	1	0	1	0	0	1.00801	0.836714
_D:	0	68	"TEST"	12.9382	0	0.0628107	0.825796	0	50	0.02	0.02	0	1	0	1	0	0	1.03497	0.850096
_D:	0	69	"TEST"	12.467	0	0.060138	0.832125	0	50	0.02	0.02	0	1	0	1	0	0	1.03368	0.849541
_D:	0	70	"TEST"	12.2059	0	0.0603619	0.836299	0	50	0.02	0.02	0	1	0	1	0	0	1.02658	0.84889
_D:	0	71	"TEST"	12.2461	0	0.0605309	0.836724	0	50	0.02	0.02	0	1	0	1	0	0	1.0275	0.851698
_D:	0	72	"TEST"	12.45	0	0.0606679	0.831282	0	50	0.02	0.02	0	1	0	1	0	0	1.03314	0.855822
_D:	0	73	"TEST"	12.6068	0	0.0611934	0.828979	0	50	0.01	0.02	0	1	0	1	0	0	1.01015	0.837431
_D:	0	74	"TEST"	12.4403	0	0.0613898	0.833976	0	50	0.01	0.02	0	1	0	1	0	0	1.01844	0.844768
_D:	0	75	"TEST"	12.5779	0	0.0603984	0.83037	0	50	0.01	0.02	0	1	0	1	0	0	1.0354	0.853312
_D:	0	76	"TEST"	12.7691	0	0.0619472	0.828872	0	50	0.02	0.01	0	1	0	1	0	0	1.04284	0.850489
_D:	0	77	"TEST"	12.3873	0	0.0609695	0.834277	0	50	0.02	0.02	0	1	0	1	0	0	1.01492	0.842279
_D:	0	78	"TEST"	12.4052	0	0.0597816	0.831021	0	50	0.02	0.02	0	1	0	1	0	0	1.03491	0.851441
_D:	0	79	"TEST"	11.4325	0	0.0565515	0.84702	0	50	0.01	0.02	0	1	0	1	0	0	1.03268	0.851201
_D:	0	80	"TEST"	13.0071	0	0.061801	0.82288	0	50	0.01	0.02	0	1	0	1	0	0	1.03662	0.843624
_D:	0	81	"TEST"	11.5084	0	0.0570175	0.843917	0	50	0.02	0.01	0	1	0	1	0	0	1.05396	0.864076
_D:	0	82	"TEST"	11.4459	0	0.0566246	0.846459	0	50	0.02	0.02	0	1	0	1	0	0	1.03865	0.854736
_D:	0	83	"TEST"	12.4704	0	0.0607365	0.831397	0	50	0.02	0.02	0	1	0	1	0	0	1.02087	0.845093
_D:	0	84	"TEST"	12.2259	0	0.0592699	0.83273	0	50	0.02	0.02	0	1	0	1	0	0	1.04203	0.856677
_D:	0	85	"TEST"	11.6896	0	0.0578491	0.84143	0	50	0.02	0.02	0	1	0	1	0	0	1.04214	0.861988
_D:	0	86	"TEST"	11.6715	0	0.0581414	0.843937	0	50	0.03	0.02	0	1	0	1	0	0	1.02564	0.852994
_D:	0	87	"TEST"	11.8892	0	0.0585344	0.839292	0	50	0.02	0.02	0	1	0	1	0	0	1.02183	0.850197
_D:	0	88	"TEST"	12.8024	0	0.0610243	0.823556	0	50	0.02	0.02	0	1	0	1	0	0	1.02283	0.85089
