_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	38	"TRAIN"	21.638	380	0.0874406	0.718996	0.62124	0.0977558	0	50	63.14	84.36	0	1	0	1	0	0	1.10257	0.84476
_D:	0	39	"TRAIN"	20.1832	380	0.0822871	0.739146	0.63363	0.105516	0	50	61.72	83.77	0	1	0	1	0	0	1.07352	0.838721
_D:	0	40	"TRAIN"	19.4464	380	0.0816977	0.743416	0.622416	0.121	0	50	61.29	83.78	0	1	0	1	0	0	1.05952	0.83228
_D:	0	41	"TRAIN"	19.1562	380	0.0806698	0.74824	0.611306	0.136933	0	50	62.53	84.36	0	1	0	1	0	0	1.05376	0.834234
_D:	0	42	"TRAIN"	20.1469	380	0.0842105	0.739946	0.633985	0.105962	0	50	62.4	84.36	0	1	0	1	0	0	1.07919	0.848673
_D:	0	43	"TRAIN"	21.3021	380	0.0863304	0.726245	0.645375	0.0808697	0	50	61.6	83.77	0	1	0	1	0	0	1.07793	0.842704
_D:	0	44	"TRAIN"	21.8638	380	0.0877879	0.710451	0.61769	0.0927609	0	50	62.04	83.9	0	1	0	1	0	0	1.07848	0.833558
_D:	0	45	"TRAIN"	20.8481	380	0.0853847	0.72582	0.614435	0.111385	0	50	61.43	83.93	0	1	0	1	0	0	1.06678	0.83586
_D:	0	46	"TRAIN"	20.8255	380	0.084608	0.725917	0.618382	0.107534	0	50	61.93	84.01	0	1	0	1	0	0	1.09096	0.839537
_D:	0	47	"TRAIN"	22.3904	380	0.0890762	0.711893	0.632643	0.0792497	0	50	61.66	84.04	0	1	0	1	0	0	1.10945	0.837788
_D:	0	48	"TRAIN"	22.6156	380	0.0893503	0.709839	0.631309	0.0785295	0	50	61.6	84.18	0	1	0	1	0	0	1.12403	0.84261
_D:	0	49	"TRAIN"	23.1202	380	0.0907895	0.703161	0.641762	0.0613994	0	50	62.66	84.33	0	1	0	1	0	0	1.11426	0.836191
_D:	0	50	"TRAIN"	20.7324	380	0.0830638	0.730077	0.61915	0.110927	0	50	61.49	83.39	0	1	0	1	0	0	1.07929	0.825996
_D:	0	51	"TRAIN"	20.5005	380	0.0835024	0.730763	0.618006	0.112757	0	50	61.87	84.22	0	1	0	1	0	0	1.09046	0.833915
_D:	0	52	"TRAIN"	15.7464	380	0.0698145	0.79134	0.608772	0.182567	0	50	61.82	84.15	0	1	0	1	0	0	1.03928	0.826123
_D:	0	53	"TRAIN"	13.6806	380	0.0641402	0.817538	0.635447	0.18209	0	50	62.53	84.36	0	1	0	1	0	0	1.0398	0.836266
_D:	0	54	"TRAIN"	13.405	380	0.0635006	0.8208	0.609657	0.211142	0	50	62.87	84.6	0	1	0	1	0	0	1.04217	0.835745
_D:	0	55	"TRAIN"	13.8558	380	0.0644006	0.812187	0.617131	0.195056	0	50	62.35	84.5	0	1	0	1	0	0	1.01714	0.832655
_D:	0	56	"TRAIN"	13.0497	380	0.0628061	0.824848	0.628544	0.196303	0	50	61.61	84.16	0	1	0	1	0	0	1.0115	0.83081
