_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	151	"TRAIN"	11.9312	380	0.0575795	0.837682	0.610343	0.227339	0	50	63.65	85.76	0	1	0	1	0	0	1.03402	0.855498
_D:	0	152	"TRAIN"	12.6997	380	0.0607456	0.82677	0.61671	0.210059	0	50	63.24	85.31	0	1	0	1	0	0	1.03573	0.85662
_D:	0	153	"TRAIN"	11.5797	380	0.056282	0.841609	0.607604	0.234006	0	50	63.18	85.74	0	1	0	1	0	0	1.04539	0.863059
_D:	0	154	"TRAIN"	11.5354	380	0.0570084	0.845205	0.621197	0.224008	0	50	63.23	85.77	0	1	0	1	0	0	1.0513	0.867201
_D:	0	155	"TRAIN"	11.9828	380	0.058315	0.836508	0.611657	0.224851	0	50	63.68	85.8	0	1	0	1	0	0	1.04136	0.856734
_D:	0	156	"TRAIN"	11.2797	380	0.0565744	0.849181	0.615836	0.233345	0	50	63.23	85.94	0	1	0	1	0	0	1.03959	0.85968
_D:	0	157	"TRAIN"	11.5691	380	0.0576207	0.844692	0.643787	0.200905	0	50	63.16	85.8	0	1	0	1	0	0	1.0582	0.864501
_D:	0	158	"TRAIN"	11.5757	380	0.0571043	0.844424	0.622142	0.222281	0	50	63.17	85.54	0	1	0	1	0	0	1.04306	0.867727
_D:	0	159	"TRAIN"	11.532	380	0.0580501	0.846265	0.63076	0.215506	0	50	63.29	86.03	0	1	0	1	0	0	1.03194	0.857767
_D:	0	160	"TRAIN"	11.3184	380	0.0564876	0.848129	0.620238	0.227891	0	50	62.82	86.03	0	1	0	1	0	0	1.04942	0.865264
_D:	0	161	"TRAIN"	12.4381	380	0.0603527	0.831406	0.635699	0.195707	0	50	63.52	86.08	0	1	0	1	0	0	1.0249	0.852917
_D:	0	162	"TRAIN"	11.7395	380	0.0585754	0.844346	0.637439	0.206907	0	50	63.6	86.22	0	1	0	1	0	0	1.02118	0.850402
_D:	0	163	"TRAIN"	11.4873	380	0.0569992	0.843586	0.616508	0.227078	0	50	63.62	85.85	0	1	0	1	0	0	1.03871	0.860399
_D:	0	164	"TRAIN"	11.3473	380	0.0568987	0.847428	0.635206	0.212222	0	50	64.46	85.86	0	1	0	1	0	0	1.04806	0.865633
_D:	0	165	"TRAIN"	11.5983	380	0.0568942	0.843368	0.617792	0.225576	0	50	63.05	85.98	0	1	0	1	0	0	1.0496	0.862853
_D:	0	166	"TRAIN"	12.6884	380	0.0611203	0.826716	0.623501	0.203215	0	50	62.49	85.42	0	1	0	1	0	0	1.03252	0.851384
_D:	0	167	"TRAIN"	11.2172	380	0.0562363	0.84944	0.632823	0.216617	0	50	63.19	86.07	0	1	0	1	0	0	1.05663	0.867878
_D:	0	168	"TRAIN"	11.99	380	0.0584429	0.837313	0.629345	0.207968	0	50	63.45	86.11	0	1	0	1	0	0	1.04431	0.860932
_D:	0	169	"TRAIN"	11.8069	380	0.0586029	0.842578	0.643398	0.19918	0	50	62.89	85.71	0	1	0	1	0	0	1.02571	0.856998
_D:	0	170	"TRAIN"	11.7209	380	0.0581323	0.840519	0.632818	0.207701	0	50	64.75	89.91	0	1	0	1	0	0	1.04261	0.858592
_D:	0	171	"TRAIN"	11.356	380	0.0562134	0.847189	0.624636	0.222553	0	50	64.75	89.95	0	1	0	1	0	0	1.05353	0.86765
_D:	0	172	"TRAIN"	11.3824	380	0.0564328	0.845976	0.635752	0.210225	0	50	64.05	88.44	0	1	0	1	0	0	1.06173	0.865434
_D:	0	173	"TRAIN"	12.2876	380	0.0599598	0.831137	0.61647	0.214667	0	50	65.17	91.05	0	1	0	1	0	0	1.02289	0.847062
_D:	0	174	"TRAIN"	11.5426	380	0.0577622	0.843347	0.633707	0.20964	0	50	62.73	85.5	0	1	0	1	0	0	1.04512	0.862714
_D:	0	175	"TRAIN"	11.4781	380	0.0563916	0.844613	0.613286	0.231326	0	50	62.56	84.79	0	1	0	1	0	0	1.0452	0.864746
_D:	0	176	"TRAIN"	11.467	380	0.0565378	0.845168	0.640151	0.205017	0	50	63.24	86.95	0	1	0	1	0	0	1.03679	0.857489
